K_m2,K_eq_m2,keq_kpm,Throat_Lx,Av_VugArea,P_Area,P_Area_100,Perim,R,Perimeter-H_At,SD_Cy,WSD_Cy,MajorLenght,Std_dist_cm,Alignment,WAv_Ly,WAv_Lx_semcalc,Eccent,MinorLenght,Macroporosity,Vugs,Sample,Grid,Seed
1.00E-15,1.02E-15,1.02,0,0,1.38,0.01,5873.612,0,9.38,201.52,213.89,17.05,0,0.592411,0,0.09,0.82,7.59,0,5,1,1,0
1.00E-15,1.00E-15,1,0,0,3.9,0.04,13261.446,0,21.18,189.97,215.5,32.14,0,0.596458,1.67,0.19,0.82,14.67,0,5,1,2,0
1.00E-15,1.02E-15,1.02,0,0,2.49,0.02,9582.874,0,15.31,193.71,212.31,20.79,0,0.567071,0,0.12,0.82,9.36,0,5,1,3,0
1.00E-15,1.47E-15,1.47,0,0,12.08,0.12,35466.329,0,56.66,180.02,200.47,50.4,0,0.608736,1.5,0.27,0.84,17.2,0,5,1,4,0
1.00E-15,6.43E-15,6.43,0,0,35.95,0.36,45673.037,0,72.96,180.72,181.43,424.11,0,0.749979,9.84,2.69,0.89,153.93,0,5,1,5,0
1.00E-15,1.10E-14,11.01,0,0,43.44,0.43,53800.696,0,85.94,176.63,183.27,316.28,0,0.698226,15.35,1.94,0.85,105.39,0,5,1,6,0
1.00E-15,1.06E-15,1.06,0,0,2.05,0.02,6508.017,0,10.4,172.43,181.47,24.44,0,0.603142,0,0.14,0.81,12.7,0,8,1,1,0
1.00E-15,1.06E-15,1.06,0,0,3.78,0.04,10667.132,0,17.04,176.77,190.57,39.07,0,0.588713,2,0.21,0.8,21.03,0,8,1,2,0
1.00E-15,1.08E-15,1.08,0,0,3.11,0.03,9173.274,0,14.65,174.82,181.07,28.58,0,0.575936,0,0.16,0.8,15.28,0,8,1,3,0
1.00E-15,1.47E-15,1.47,0,0,12.26,0.12,26866.889,0,42.92,177.29,160.08,64.69,0,0.515275,1.38,0.35,0.81,32.92,0,8,1,4,0
1.00E-15,7.42E-15,7.42,0,0,37.17,0.37,46679.105,0,74.57,179.38,180.41,490.42,0,0.821015,9.72,3.18,0.86,213.05,0,8,1,5,0
1.00E-15,2.97E-15,2.97,0,0,27.64,0.28,39337.664,0,62.84,187.52,161.75,141.85,0,0.581696,7.21,0.86,0.79,63.31,0,8,1,6,0
